icd_code,icd_chapter
V188,(Z00-Z99)
V2342,(Z00-Z99)
V235,(Z00-Z99)
V2632,(Z00-Z99)
V299,(Z00-Z99)
V4502,(Z00-Z99)
V488,(Z00-Z99)
V4965,(Z00-Z99)
V528,(Z00-Z99)
V604,(Z00-Z99)
V6103,(Z00-Z99)
V712,(Z00-Z99)
V726,(Z00-Z99)
V736,(Z00-Z99)
V782,(Z00-Z99)
V9009,(Z00-Z99)
V9081,(Z00-Z99)
V9192,(Z00-Z99)
0066,(A00-B99)
01082,(A00-B99)
01150,(A00-B99)
01175,(A00-B99)
01200,(A00-B99)
01523,(A00-B99)
01593,(A00-B99)
01595,(A00-B99)
01631,(A00-B99)
01700,(A00-B99)
0223,(A00-B99)
04109,(A00-B99)
04112,(A00-B99)
04611,(A00-B99)
0498,(A00-B99)
07959,(A00-B99)
07989,(A00-B99)
09049,(A00-B99)
0950,(A00-B99)
09816,(A00-B99)
09886,(A00-B99)
1025,(A00-B99)
11519,(A00-B99)
1209,(A00-B99)
1210,(A00-B99)
1230,(A00-B99)
1279,(A00-B99)
1301,(A00-B99)
13629,(A00-B99)
1589,(C00-D49)
1623,(C00-D49)
1729,(C00-D49)
1736,(C00-D49)
17371,(C00-D49)
17379,(C00-D49)
1768,(C00-D49)
1879,(C00-D49)
1983,(C00-D49)
1986,(C00-D49)
20006,(C00-D49)
20065,(C00-D49)
20110,(C00-D49)
20223,(C00-D49)
20235,(C00-D49)
20297,(C00-D49)
2219,(C00-D49)
2364,(C00-D49)
23879,(C00-D49)
25201,(E00-E89)
2593,(E00-E89)
2753,(E00-E89)
27540,(E00-E89)
2762,(E00-E89)
2764,(E00-E89)
27730,(E00-E89)
27902,(E00-E89)
2896,(D50-D89)
2913,(F01-F99)
29511,(F01-F99)
30014,(F01-F99)
3029,(F01-F99)
30520,(F01-F99)
3068,(F01-F99)
31089,(F01-F99)
31231,(F01-F99)
31289,(F01-F99)
3214,(G00-G99)
32371,(G00-G99)
32726,(G00-G99)
33389,(G00-G99)
33399,(G00-G99)
33722,(G00-G99)
33942,(G00-G99)
3581,(G00-G99)
36101,(G00-G99)
36213,(G00-G99)
36505,(G00-G99)
36560,(G00-G99)
36622,(G00-G99)
36751,(G00-G99)
36906,(G00-G99)
36920,(G00-G99)
